product_id,product_name,category,sub_category,total_sales,total_profit,avg_discount_pct,line_items
TEC-MA-10000418,Cubify CubeX 3D Printer Double Head Print,Technology,Machines,11099.96,-8879.97,53.33,3
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,16829.9,-4589.97,40.0,4
TEC-MA-10004125,Cubify CubeX 3D Printer Triple Head Print,Technology,Machines,7999.98,-3839.99,50.0,1
FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables,9917.64,-2876.12,28.0,5
FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,Furniture,Tables,9544.73,-1934.4,35.0,7
OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,17965.07,-1878.17,45.0,6
TEC-MA-10002412,Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,22638.48,-1811.08,50.0,1
OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,16656.2,-1299.18,10.0,6
FUR-TA-10001950,Balt Solid Wood Round Tables,Furniture,Tables,6518.75,-1201.06,20.0,4
FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,Tables,1706.25,-1148.44,48.33,3
FUR-TA-10004154,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Furniture,Tables,4446.18,-1147.4,30.0,5
TEC-MA-10002210,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,Technology,Machines,1212.7,-1057.23,55.0,2
FUR-CH-10003312,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Furniture,Chairs,5282.42,-989.05,21.67,6
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,2740.2,-975.1,42.14,7
FUR-TA-10004256,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,Furniture,Tables,5634.9,-964.19,22.5,4
TEC-MA-10001695,Zebra GK420t Direct Thermal/Thermal Transfer Printer,Technology,Machines,703.71,-938.28,70.0,1
TEC-MA-10001148,Okidata MB491 Multifunction Printer,Technology,Machines,5204.24,-882.12,50.0,5
OFF-AP-10002534,3.6 Cubic Foot Counter Height Office Refrigerator,Office Supplies,Appliances,2946.2,-872.08,52.0,5
FUR-TA-10002958,"Bevis Oval Conference Table, Walnut",Furniture,Tables,6942.07,-856.01,27.5,8
OFF-ST-10004459,Tennsco Single-Tier Lockers,Office Supplies,Storage,9158.3,-825.75,7.5,8
FUR-TA-10002533,BPI Conference Tables,Furniture,Tables,2241.87,-795.97,37.0,5
TEC-MA-10004679,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,Technology,Machines,2330.65,-785.76,42.5,4
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,2946.37,-767.74,33.2,5
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,Bookcases,3420.77,-755.75,24.0,6
FUR-TA-10003954,Hon 94000 Series Round Tables,Furniture,Tables,7404.5,-681.21,16.0,5
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,15610.97,-669.54,23.4,5
OFF-ST-10002574,"SAFCO Commercial Wire Shelving, Black",Office Supplies,Storage,4199.46,-635.44,14.0,10
FUR-BO-10004467,Bestar Classic Bookcase,Furniture,Bookcases,1897.81,-612.94,31.5,8
FUR-TA-10003238,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",Furniture,Tables,4297.64,-611.59,33.33,6
FUR-TA-10001768,Hon Racetrack Conference Tables,Furniture,Tables,3963.9,-598.52,28.33,6
FUR-TA-10000849,Bevis Rectangular Conference Tables,Furniture,Tables,1007.26,-586.84,47.5,4
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,7242.77,-532.76,26.25,8
FUR-FU-10001468,Tenex Antistatic Computer Chair Mats,Furniture,Furnishings,3317.01,-530.04,23.33,6
FUR-FU-10003806,"Tenex Chairmat w/ Average Lip, 45"" x 53""",Furniture,Furnishings,2058.5,-529.76,30.0,4
FUR-TA-10002041,"Bevis Round Conference Table Top, X-Base",Furniture,Tables,2671.42,-519.94,26.67,6
TEC-MA-10001681,Lexmark MarkNet N8150 Wireless Print Server,Technology,Machines,723.51,-506.46,70.0,2
FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair, Khaki",Furniture,Chairs,4166.88,-503.12,22.86,14
FUR-CH-10003298,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Furniture,Chairs,3680.54,-491.18,18.89,9
FUR-TA-10002607,KI Conference Tables,Furniture,Tables,2140.88,-479.22,32.5,8
FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",Furniture,Chairs,5436.16,-474.74,18.57,14
OFF-ST-10002743,SAFCO Boltless Steel Shelving,Office Supplies,Storage,4704.7,-470.47,10.0,10
TEC-MA-10002073,"3D Systems Cube Printer, 2nd Generation, White",Technology,Machines,2339.98,-468.0,35.0,2
OFF-BI-10004584,GBC ProClick 150 Presentation Binding System,Office Supplies,Binders,3223.0,-461.33,50.0,5
FUR-CH-10000229,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Furniture,Chairs,2032.35,-460.67,25.0,4
FUR-TA-10002228,"Bevis Traditional Conference Table Top, Plinth Base",Furniture,Tables,2033.5,-456.7,33.33,3
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,4952.67,-450.24,32.22,9
FUR-TA-10002356,Bevis Boat-Shaped Conference Table,Furniture,Tables,2542.47,-445.59,31.67,6
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs,2913.91,-445.39,20.0,8
OFF-SU-10000646,Premier Automatic Letter Opener,Office Supplies,Supplies,2836.37,-427.86,12.0,5
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Furniture,Bookcases,1014.17,-418.55,28.33,3
FUR-TA-10004442,Riverside Furniture Stanwyck Manor Table Series,Furniture,Tables,917.92,-415.93,36.67,3
OFF-BI-10000778,GBC VeloBinder Electric Binding Machine,Office Supplies,Binders,496.02,-411.33,72.5,4
FUR-TA-10001932,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",Furniture,Tables,5098.18,-404.01,31.67,6
