order_year,order_month,total_sales,total_profit,total_orders
2014,1,14236.9,2450.19,32
2014,2,4519.89,862.31,28
2014,3,55691.01,498.73,71
2014,4,28295.35,3488.84,66
2014,5,23648.29,2738.71,69
2014,6,34595.13,4976.52,66
2014,7,33946.39,-841.48,65
2014,8,27909.47,5318.1,72
2014,9,81777.35,8328.1,130
2014,10,31453.39,3448.26,78
2014,11,78628.72,9292.13,151
2014,12,69545.62,8983.57,141
2015,1,18174.08,-3281.01,29
2015,2,11951.41,2813.85,36
2015,3,38726.25,9732.1,79
2015,4,34195.21,4187.5,72
2015,5,30131.69,4667.87,74
2015,6,24797.29,3335.56,68
2015,7,28765.33,3288.65,66
2015,8,36898.33,5355.81,68
2015,9,64595.92,8209.16,140
2015,10,31404.92,2817.37,87
2015,11,75972.56,12474.79,158
2015,12,74919.52,8016.97,161
2016,1,18542.49,2824.82,48
2016,2,22978.82,5004.58,45
2016,3,51715.88,3611.97,86
2016,4,38750.04,2977.81,89
2016,5,56987.73,8662.15,108
2016,6,40344.53,4750.38,97
2016,7,39261.96,4432.88,96
2016,8,31115.37,2062.07,90
2016,9,73410.02,9328.66,192
2016,10,59687.75,16243.14,105
2016,11,79411.97,4011.41,183
2016,12,96999.04,17885.31,176
2017,1,43971.37,7140.44,69
2017,2,20301.13,1613.87,53
2017,3,58872.35,14751.89,118
2017,4,36521.54,933.29,116
2017,5,44261.11,6342.58,118
2017,6,52981.73,8223.34,133
2017,7,45264.42,6952.62,111
2017,8,63120.89,9040.96,111
2017,9,87866.65,10991.56,226
2017,10,77776.92,9275.28,147
2017,11,118447.82,9690.1,261
2017,12,83829.32,8483.35,224
