product_id,product_name,total_sales,cumulative_sales,cumulative_sales_pct,product_rank,cumulative_product_pct
TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,61599.82,61599.82,2.68,1,0.05
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.38,89053.2,3.88,2,0.11
TEC-MA-10002412,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,111691.68,4.86,3,0.16
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,21870.58,133562.26,5.81,4,0.21
OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,19823.48,153385.74000000002,6.68,5,0.27
OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,19024.5,172410.24000000002,7.51,6,0.32
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,18839.69,191249.93000000002,8.33,7,0.38
TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.9,209624.83000000002,9.13,8,0.43
OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,17965.07,227589.90000000002,9.91,9,0.48
OFF-SU-10000151,High Speed Automatic Electric Letter Opener,17030.31,244620.21000000002,10.65,10,0.54
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,16829.9,261450.11000000002,11.38,11,0.59
OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,16656.2,278106.31,12.11,12,0.64
OFF-BI-10001120,Ibico EPK-21 Electric Binding System,15875.92,293982.23,12.8,13,0.7
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.97,309593.19999999995,13.48,14,0.75
TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,323893.08999999997,14.1,15,0.81
TEC-PH-10001459,Samsung Galaxy Mega 6.3,13943.67,337836.75999999995,14.71,16,0.86
TEC-AC-10002049,Logitech G19 Programmable Gaming Keyboard,13756.54,351593.29999999993,15.31,17,0.91
TEC-PH-10002885,Apple iPhone 5,12996.6,364589.8999999999,15.87,18,0.97
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,12995.29,377585.1899999999,16.44,19,1.02
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,12975.38,390560.5699999999,17.0,20,1.07
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,12921.64,403482.2099999999,17.56,21,1.13
TEC-CO-10003763,Canon PC1060 Personal Laser Copier,11619.83,415102.0399999999,18.07,22,1.18
FUR-CH-10004287,SAFCO Arco Folding Chair,11572.78,426674.81999999995,18.57,23,1.24
OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,11304.44,437979.25999999995,19.07,24,1.29
TEC-AC-10003832,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,11203.76,449183.01999999996,19.55,25,1.34
TEC-MA-10000418,Cubify CubeX 3D Printer Double Head Print,11099.96,460282.98,20.04,26,1.4
OFF-ST-10000078,Tennsco 6- and 18-Compartment Lockers,10925.0,471207.98,20.51,27,1.45
TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,10822.36,482030.33999999997,20.98,28,1.5
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.53,492667.87,21.45,29,1.56
FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9917.64,502585.51,21.88,30,1.61
OFF-ST-10003716,Tennsco Double-Tier Lockers,9630.86,512216.37,22.3,31,1.66
FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,9544.73,521761.1,22.71,32,1.72
TEC-MA-10000488,Bady BDG101FRU Card Printer,9279.88,531040.98,23.12,33,1.77
OFF-ST-10004459,Tennsco Single-Tier Lockers,9158.3,540199.28,23.52,34,1.83
FUR-CH-10003973,GuestStacker Chair with Chrome Finish Legs,9070.94,549270.22,23.91,35,1.88
TEC-CO-10001046,Canon Imageclass D680 Copier / Fax,8959.87,558230.09,24.3,36,1.93
