sub_category,total_sales,total_profit,total_orders,profit_margin_pct
Phones,330007.05,44515.73,814,13.49
Chairs,328449.1,26590.17,576,8.1
Storage,223843.61,21278.83,777,9.51
Tables,206965.53,-17725.48,307,-8.56
Binders,203412.73,30221.76,1316,14.86
Machines,189238.63,3384.76,112,1.79
Accessories,167380.32,41936.64,718,25.05
Copiers,149528.03,55617.82,68,37.2
Bookcases,114880.0,-3472.56,224,-3.02
Appliances,107532.16,18138.01,451,16.87
Furnishings,91705.16,13059.14,877,14.24
Paper,78479.21,34053.57,1191,43.39
Supplies,46673.54,-1189.1,187,-2.55
Art,27118.79,6527.79,731,24.07
Envelopes,16476.4,6964.18,249,42.27
Labels,12486.31,5546.25,346,44.42
Fasteners,3024.28,949.52,215,31.4
