product_id,product_name,category,sub_category,total_sales,total_profit,total_quantity
TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,61599.82,25199.93,20
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,27453.38,7753.04,31
TEC-MA-10002412,Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,22638.48,-1811.08,6
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,21870.58,0.0,39
OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,19823.48,2233.51,37
OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders,19024.5,760.98,48
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,18839.69,6983.88,38
TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,18374.9,4094.98,12
OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,17965.07,-1878.17,27
OFF-SU-10000151,High Speed Automatic Electric Letter Opener,Office Supplies,Supplies,17030.31,-262.0,11
